id	pctfb
1001	0.035129023
1003	0.045437075
1005	0.033906919
1007	0.01433219
1009	0.04819741
1011	0.048818608
1013	0.011553212
1015	0.034018059
1017	0.015709091
1019	0.015143886
1021	0.046933984
1023	0.009603669
1025	0.009099286
1027	0.024411135
1029	0.014783953
1031	0.068141647
1033	0.020301773
1035	0.003311757
1037	0.033707865
1039	0.017039432
1041	0.023532788
1043	0.028861252
1045	0.065965545
1047	0.012058904
1049	0.078036483
1051	0.03030226
1053	0.015414511
1055	0.027212712
1057	0.011577674
1059	0.080521375
1061	0.027433761
1063	0
1065	0.014024543
1067	0.028886311
1069	0.031522281
1071	0.020747043
1073	0.047515841
1075	0.003482655
1077	0.023312272
1079	0.015124088
1081	0.060701462
1083	0.047711385
1085	0.002773444
1087	0.015310159
1089	0.070683482
1091	0.00591576
1093	0.016314062
1095	0.088743319
1097	0.038175972
1099	0.015544713
1101	0.053961972
1103	0.058749082
1105	0.009416196
1107	0.004857071
1109	0.043454159
1111	0.022944216
1113	0.035321014
1115	0.026492478
1117	0.06739
1119	0.004143044
1121	0.02132134
1123	0.02184361
1125	0.04152719
1127	0.014574791
1129	0.005832904
1131	0.003962232
1133	0.01398772
2013	0.680285344
2016	0.375182216
2020	0.119861512
2050	0.013963354
2060	0.009661836
2068	0.092655367
2070	0.02249742
2090	0.078098189
2100	0.047637952
2105	0.05717102
2110	0.077230828
2122	0.0455426
2130	0.089140642
2150	0.177268683
2164	0.012987013
2170	0.056290819
2180	0.027110029
2185	0.033890845
2188	0.023898035
2195	0.067345341
2198	0.029417073
2220	0.072981192
2230	0.214479638
2240	0.094857143
2261	0.064818674
2270	0.006289308
2275	0.050148746
2282	0.117647059
2290	0.020131837
4001	0.022071475
4003	0.149504844
4005	0.070680865
4007	0.04273136
4009	0.052260349
4011	0.043319169
4012	0.125383753
4013	0.167132041
4015	0.071438537
4017	0.033085703
4019	0.146389634
4021	0.11405736
4023	0.343206283
4025	0.078766636
4027	0.261589216
5001	0.028099864
5003	0.022762451
5005	0.0254774
5007	0.113765175
5009	0.013709765
5011	0.064248705
5013	0.00276906
5015	0.081746178
5017	0.024441282
5019	0.026142374
5021	0.011031235
5023	0.022995192
5025	0.007896544
5027	0.027106108
5029	0.026554527
5031	0.036029211
5033	0.044182862
5035	0.017297489
5037	0.006169409
5039	0.004268293
5041	0.022542076
5043	0.026001405
5045	0.043328711
5047	0.008977254
5049	0.021055199
5051	0.046208061
5053	0.028761186
5055	0.013288957
5057	0.054506135
5059	0.0149099
5061	0.05926302
5063	0.048209708
5065	0.020955882
5067	0.012465914
5069	0.018251323
5071	0.081667191
5073	0.003640619
5075	0.012113521
5077	0.017703304
5079	0.013153242
5081	0.017921147
5083	0.017465114
5085	0.031820685
5087	0.027454243
5089	0.025800287
5091	0.017219063
5093	0.023536732
5095	0.011415525
5097	0.025495154
5099	0.005617978
5101	0.017598468
5103	0.011937101
5105	0.014545455
5107	0.00380866
5109	0.04854713
5111	0.009260011
5113	0.041025141
5115	0.039956839
5117	0.00729927
5119	0.063703185
5121	0.015098529
5123	0.017130697
5125	0.029781116
5127	0.056445869
5129	0.016235352
5131	0.097718488
5133	0.168161036
5135	0.009375359
5137	0.008067769
5139	0.023567898
5141	0.02144306
5143	0.120151928
5145	0.029786563
5147	0.008673262
5149	0.140304615
6001	0.321092184
6003	0.054841474
6005	0.065526619
6007	0.086923017
6009	0.053959034
6011	0.250786496
6013	0.249274198
6015	0.075977732
6017	0.094152703
6019	0.22741991
6021	0.162700253
6023	0.064722836
6025	0.334177644
6027	0.108630872
6029	0.213326677
6031	0.223474579
6033	0.096145484
6035	0.081597669
6037	0.365049791
6039	0.219442421
6041	0.200485906
6043	0.052651722
6045	0.127403599
6047	0.259422096
6049	0.067904454
6051	0.188926941
6053	0.319010173
6055	0.236871847
6057	0.063053907
6059	0.314699453
6061	0.113798704
6063	0.071166799
6065	0.231742066
6067	0.209967483
6069	0.215206021
6071	0.226958682
6073	0.249167796
6075	0.373845057
6077	0.243830087
6079	0.113166412
6081	0.356280441
6083	0.246776387
6085	0.3820743
6087	0.196841196
6089	0.062477783
6091	0.057064388
6093	0.063463647
6095	0.221352218
6097	0.174963588
6099	0.222343205
6101	0.238650841
6103	0.109295864
6105	0.04456276
6107	0.237434496
6109	0.052389838
6111	0.23957119
6113	0.227166912
6115	0.135330075
8001	0.159842964
8003	0.077167912
8005	0.162814015
8007	0.036701777
8009	0.029944838
8011	0.049643089
8013	0.12483075
8014	0.089848329
8015	0.045462247
8017	0.068090788
8019	0.042276781
8021	0.04594069
8023	0.118672666
8025	0.090351176
8027	0.02751103
8029	0.051588078
8031	0.176231611
8033	0.01957905
8035	0.073214012
8037	0.20877626
8039	0.043527713
8041	0.103492608
8043	0.053741497
8045	0.169599253
8047	0.044647968
8049	0.067514008
8051	0.067500327
8053	0.025991792
8055	0.056816518
8057	0.035475234
8059	0.071138559
8061	0.02662037
8063	0.084494987
8065	0.163052782
8067	0.042030697
8069	0.063450037
8071	0.048105988
8073	0.063529843
8075	0.060400589
8077	0.046585524
8079	0.026279391
8081	0.069409686
8083	0.025185244
8085	0.0886749
8087	0.141502344
8089	0.042617717
8091	0.043468314
8093	0.033335383
8095	0.108175814
8097	0.133760249
8099	0.120570749
8101	0.044597521
8103	0.055471584
8105	0.083606145
8107	0.051420197
8109	0.120519059
8111	0.04494382
8113	0.092374374
8115	0.029707113
8117	0.135619727
8119	0.043281962
8121	0.047780845
8123	0.099657464
8125	0.112148594
9001	0.23066168
9003	0.193947145
9005	0.073081768
9007	0.089227586
9009	0.153997804
9011	0.112729991
9013	0.080593514
9015	0.081850624
10001	0.071784964
10003	0.115313209
10005	0.077740406
11001	0.14808866
12001	0.125193438
12003	0.017384507
12005	0.074502669
12007	0.034667782
12009	0.111784555
12011	0.340664703
12013	0.052374398
12015	0.107692308
12017	0.063546264
12019	0.087315369
12021	0.248960439
12023	0.050425788
12027	0.203697828
12029	0.043267758
12031	0.113747111
12033	0.076125079
12035	0.151126219
12037	0.05177348
12039	0.069927497
12041	0.034673158
12043	0.173998739
12045	0.050006298
12047	0.06043956
12049	0.23058866
12051	0.278374783
12053	0.093858054
12055	0.139556498
12057	0.197231105
12059	0.037744338
12061	0.115492978
12063	0.041100591
12065	0.038913965
12067	0.075113017
12069	0.114924525
12071	0.173822763
12073	0.084074746
12075	0.059054147
12077	0.044506091
12079	0.042762987
12081	0.136157935
12083	0.107206907
12085	0.112847127
12086	0.545230568
12087	0.189398916
12089	0.041407038
12091	0.10554313
12093	0.138226024
12095	0.27157844
12097	0.347893928
12099	0.241652481
12101	0.115289523
12103	0.131626538
12105	0.145600759
12107	0.064132985
12109	0.081960694
12111	0.179906295
12113	0.070445716
12115	0.127419372
12117	0.162507953
12119	0.070370411
12121	0.060139419
12123	0.034134572
12125	0.06955567
12127	0.104640498
12129	0.041182154
12131	0.066600379
12133	0.034918307
13001	0.057301395
13003	0.117970149
13005	0.050022573
13007	0.003720664
13009	0.032905384
13011	0.033971451
13013	0.078547186
13015	0.053829432
13017	0.018348624
13019	0.033092691
13021	0.041756344
13023	0.028789614
13025	0.006857334
13027	0.042322835
13029	0.064964653
13031	0.043835497
13033	0.013958899
13035	0.026306857
13037	0.059683313
13039	0.041075325
13043	0.064915986
13045	0.055842672
13047	0.027842811
13049	0.074327513
13051	0.07973305
13053	0.112356666
13055	0.033152571
13057	0.095974749
13059	0.122163763
13061	0.001252348
13063	0.164092101
13065	0.006734993
13067	0.165074189
13069	0.074342121
13071	0.114532266
13073	0.095479458
13075	0.045606229
13077	0.069329163
13079	0.021959062
13081	0.013045896
13083	0.022612461
13085	0.038967497
13087	0.030333453
13089	0.175068804
13091	0.017965458
13093	0.03569946
13095	0.029265663
13097	0.095284082
13099	0.005670567
13101	0.262948207
13103	0.031432124
13105	0.030433067
13107	0.034092428
13109	0.08362116
13111	0.013515237
13113	0.108243633
13115	0.070682865
13117	0.14081316
13119	0.0290019
13121	0.141033761
13123	0.064697958
13125	0.017728168
13127	0.063909774
13129	0.0914388
13131	0.061045112
13133	0.041548986
13135	0.273164736
13137	0.092200075
13139	0.169121524
13141	0.01300052
13143	0.015271434
13145	0.040985956
13147	0.020214883
13149	0.016159211
13151	0.091128242
13153	0.074764118
13155	0.007896104
13157	0.056339677
13159	0.045507246
13161	0.044713522
13163	0.020382769
13165	0.066570536
13167	0.016244768
13169	0.030293457
13171	0.022678126
13173	0.039779119
13175	0.025102257
13177	0.035503168
13179	0.123585199
13181	0.016532007
13183	0.082763139
13185	0.060687493
13187	0.048200143
13189	0.015456093
13191	0.010806968
13193	0.072664835
13195	0.024216371
13197	0.068650422
13199	0.00684284
13201	0.019543974
13205	0.025552224
13207	0.022859978
13209	0.052406534
13211	0.034068024
13213	0.086407035
13215	0.078086217
13217	0.076327076
13219	0.057743596
13221	0.029483862
